Government of Jordan (1999-),358
Brigade 135,359
Unified Operation Room - Idleb,360
JWS: Syrian National Army- 1st Brigade,361
Al Jaghayfa Tribal Militia (Syria),362
Bsames Communal Militia (Syria),363
As Sweida Communal Militia (Syria),364
Tall Refaat Communal Militia (Syria),365
Eblin Communal Militia (Syria),366
Idlib Martyrs' Brigade,367
Ashbal al Ma'ara,368
Shuhada Badr,369
Abu Amara Brigade: Special Task Brigade,370
Jabhat Ansar al Islam,371
Lions of the East,372
JaN: Elite Army,373
Druze Ethnic Militia (Syria),374
Liwa al Hurriyah al Islami,375
Katibat Ahrar al Janub,376
Military Forces of Syria (2000-) 61st Infantry Brigade,377
Shaitat Tribal Militia (Syria),378
Jazaa Communal Militia (Syria),379
Idleb Communal Militia (Syria),380
Ansar Abu Bakr al Saddiq Brigade,381
Buhayra Communal Militia (Syria),382
Farqat Abna' al Qadisiya,383
Hadidiyin Tribal Militia (Syria),384
Sarmada Communal Militia (Syria),385
National Front for the Liberation of Syria,386
Military Forces of Syria (2000-) 47th Armored Brigade,387
Muslim Brotherhood (Syria),388
Ansar al Din Front (Syria),389
Abu Ma'shi Tribal Militia,390
Al Sukhnah Tribal Militia (Syria),391
Ahrar Goweiran (Syria),392
DFLP: Democratic Front for the Liberation of Palestine,393
Al Farrera Communal Militia (Syria),394
1st Regiment,395
Former Mutaaz Billah Army,396
Kanaker Communal Group (Syria),397
Zir Communal Militia (Syria),398
Duat al Jihad Center,399
Liwa al-Haqq (Idleb),400
Liwa al Karama,401
Mutiny of AAS: Ahrar al Sham,402
Qusayr Communal Militia (Syria),403
Thiban Communal Group (Syria),404
Al Qatri Communal Militia (Syria),405
Ain al Arab Communal Militia (Syria),406
Hajin Communal Militia (Syria),407
Liwa al Fursan,408
Al Sham Division,409
Mutiny of HTS: Hayat Tahrir al Sham,410
Al Malahim Division,411
Abu Bakr as-Siddiq Army,412
Baza'a Communal Militia (Syria),413
Hammam al Turkman Communal Militia (Syria),414
Bayraq Al-Ezz (Syria),415
Albu Kassar Tribal Militia (Syria),416
Police Forces of Turkey (2016-) National Intelligence Organization,417
Unidentified Armed Group (Palestine),418
Kanaker Communal Militia (Syria),419
Tal Adah Battalion,420
QaL: Galilee Forces,421
Rankus Communal Militia (Syria),422
Northern Democratic Brigade,423
Syrian Interim Government,424
They Were Wronged Operations Room,425
Former Ahrar al Sham,426
Shiheil Communal Militia (Syria),427
Bakkara Youth Gathering (Syria),428
Military Forces of Syria (2000-) 12th Armored Brigade,429
Shahba Communal Militia (Syria),430
Fawj Maghawir al Badiya,431
Knights of the Golan,432
Al Dalawiyah Communal Militia (Syria),433
Shin Communal Militia (Syria),434
Hama Communal Militia (Syria),435
Jund Badr 313,436
Al Bakeer Tribal Militia (Syria),437
Qanawat Communal Militia (Syria),438
